asv_in_model	pbcorr	pval
KUMC_our_set__Zotu950	-0.126730581	0.018189354
HurychJ_2023__Uniq119565	0.126575267	0.018333003
AlipourM_2016__Zotu172	-0.126242318	0.018644283
KUMC_our_set__Zotu1394	0.126231225	0.018654732
CortezRV_2021__Zotu707	-0.126228605	0.018657202
SchirmerM_2018__Zotu3019	-0.126165236	0.018717001
SchirmerM_2018__Zotu2685	0.126153641	0.018727961
AlipourM_2016__Zotu1173	-0.126046609	0.018829395
SchirmerM_2018__Zotu1074	-0.126008248	0.018865866
HurychJ_2023__Uniq2493	0.12580754	0.019057689
AlipourM_2016__Zotu953	-0.125782044	0.019082177
SchirmerM_2018__Zotu2254	-0.125732321	0.019130015
SchirmerM_2018__Zotu3516	-0.125718026	0.019143787
HurychJ_2023__Uniq55715	-0.125674552	0.019185723
HurychJ_2023__Uniq146757	0.125646082	0.01921323
HurychJ_2023__Uniq22595	-0.125618784	0.019239636
SchirmerM_2018__Zotu3507	-0.125458096	0.019395717
HurychJ_2023__Uniq77670	-0.125432692	0.019420494
HurychJ_2023__Uniq97801	-0.125401099	0.019451344
NusbaumDJ_2018__Zotu1567	-0.125282325	0.019567709
HurychJ_2023__Uniq25772	-0.125244321	0.01960507
SchirmerM_2018__Zotu3931	-0.125217768	0.019631211
HurychJ_2023__Uniq9720	0.125197203	0.019651476
HurychJ_2023__Uniq82979	-0.124966773	0.019879807
SchirmerM_2018__Zotu1782	-0.124876635	0.019969749
HurychJ_2023__Uniq113514	0.124716174	0.020130736
KUMC_our_set__Zotu357	0.124675563	0.020171658
HurychJ_2023__Uniq111076	0.124671184	0.020176076
AlipourM_2016__Zotu1463	-0.124648357	0.020199114
NusbaumDJ_2018__Zotu1520	-0.124618564	0.020229217
CortezRV_2021__Zotu907	-0.124608375	0.02023952
SchirmerM_2018__Zotu2150	-0.124596871	0.02025116
HurychJ_2023__Uniq114446	-0.124578552	0.020269707
HurychJ_2023__Uniq49364	-0.124545039	0.020303674
KUMC_our_set__Zotu961	0.124497366	0.020352078
HurychJ_2023__Uniq129999	-0.124452288	0.02039794
CortezRV_2021__Zotu993	-0.124452288	0.02039794
HurychJ_2023__Uniq40907	-0.124452288	0.02039794
KUMC_our_set__Zotu317	-0.124452288	0.02039794
SchirmerM_2018__Zotu2823	-0.124452288	0.02039794
SchirmerM_2018__Zotu3903	-0.124452288	0.02039794
HurychJ_2023__Uniq72291	-0.124452288	0.02039794
SchirmerM_2018__Zotu3504	-0.124452288	0.02039794
NusbaumDJ_2018__Zotu1232	0.124235674	0.020619574
SchirmerM_2018__Zotu3851	-0.124128029	0.02073049
HurychJ_2023__Uniq126895	-0.124032365	0.020829494
HurychJ_2023__Uniq111484	0.124011876	0.020850752
AlipourM_2016__Zotu199	-0.123998187	0.020864965
SchirmerM_2018__Zotu1705	-0.123915332	0.020951172
KUMC_our_set__Zotu423	0.123904209	0.020962768
AlipourM_2016__Zotu969	0.123899063	0.020968135
SchirmerM_2018__Zotu1807	-0.123805778	0.021065632
HurychJ_2023__Uniq121999	-0.123798082	0.021073693
KUMC_our_set__Zotu1163	0.123788163	0.021084086
NusbaumDJ_2018__Zotu1150	-0.123651035	0.02122823
AlipourM_2016__Zotu409	-0.123629456	0.02125099
KUMC_our_set__Zotu1114	-0.123550838	0.021334091
AlipourM_2016__Zotu1372	-0.123412664	0.021480828
KUMC_our_set__Zotu207	-0.123352402	0.021545098
HurychJ_2023__Uniq83702	0.123301705	0.021599296
SchirmerM_2018__Zotu1649	-0.123205682	0.021702274
HurychJ_2023__Uniq129758	-0.123203056	0.021705097
SchirmerM_2018__Zotu1223	-0.123190598	0.021718489
CortezRV_2021__Zotu1559	-0.123159276	0.021752194
CortezRV_2021__Zotu686	-0.123021841	0.021900618
HurychJ_2023__Uniq88476	-0.123004562	0.021919341
IjazUZ_2017__Zotu1450	-0.122999563	0.02192476
IjazUZ_2017__Zotu1467	-0.122999563	0.02192476
HurychJ_2023__Uniq86118	-0.122948853	0.021979798
SchirmerM_2018__Zotu2756	-0.122933289	0.021996715
HurychJ_2023__Uniq11023	-0.122919383	0.022011839
KUMC_our_set__Zotu570	-0.122904001	0.022028579
HurychJ_2023__Uniq105956	0.122812616	0.022128258
CortezRV_2021__Zotu540	0.122787714	0.022155487
AlipourM_2016__Zotu355	-0.122742632	0.022204858
CortezRV_2021__Zotu385	-0.122731311	0.02221727
HurychJ_2023__Uniq95252	0.122646427	0.02231053
KUMC_our_set__Zotu1003	0.122646265	0.022310709
HurychJ_2023__Uniq60879	-0.122580642	0.02238304
HurychJ_2023__Uniq43218	-0.122535363	0.022433067
HurychJ_2023__Uniq149894	-0.122389971	0.022594357
AlipourM_2016__Zotu1493	-0.122251441	0.022748968
HurychJ_2023__Uniq82867	-0.122251441	0.022748968
HurychJ_2023__Uniq95465	-0.122251441	0.022748968
IjazUZ_2017__Zotu1578	-0.122251441	0.022748968
CortezRV_2021__Zotu1113	0.122124888	0.02289101
CortezRV_2021__Zotu1479	-0.122101813	0.022916992
AlipourM_2016__Zotu125	-0.12205306	0.022971971
HurychJ_2023__Uniq119134	-0.12205306	0.022971971
HurychJ_2023__Uniq85198	-0.121924209	0.023117825
AlipourM_2016__Zotu1331	-0.121850065	0.023202115
SchirmerM_2018__Zotu3499	-0.121826421	0.02322905
CortezRV_2021__Zotu134	0.121815596	0.023241391
KUMC_our_set__Zotu996	0.121797347	0.023262208
SchirmerM_2018__Zotu3514	-0.121707154	0.023365331
HurychJ_2023__Uniq82070	0.121603476	0.023484361
